,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
8108,General Store,female,Philippines,PH,shared,field_partner,6,225,English,irregular,Retail,funded,7,0.054
8109,Office Supplies,female,Philippines,PH,shared,field_partner,1,100,English,irregular,Retail,funded,8,0.054
8110,Clothing Sales,group,Nicaragua,NI,not shared,field_partner,51,1475,Spanish,irregular,Clothing,funded,9,0.161
8111,Weaving,male,Guatemala,GT,not shared,field_partner,12,300,English,bullet,Arts,funded,10,0.082
8112,Retail,female,Senegal,SN,shared,field_partner,17,450,French,bullet,Retail,funded,8,0.449
8113,Crafts,female,Peru,PE,shared,field_partner,8,400,Spanish,monthly,Arts,funded,8,0.069
8114,Farming,male,Philippines,PH,not shared,field_partner,11,275,English,bullet,Agriculture,funded,7,0.09
8115,Home Appliances,group,Cambodia,KH,shared,field_partner,3,100,English,monthly,Personal Use,funded,8,0.097
8116,Higher education costs,male,Jordan,JO,shared,field_partner,20,725,English,monthly,Education,funded,15,0.005
8117,Cosmetics Sales,group,Brazil,BR,shared,field_partner,3,3300,Portuguese,monthly,Retail,not_funded,10,0.012
8118,Food Production/Sales,female,Vietnam,VN,not shared,field_partner,5,125,Vietnamese,monthly,Food,funded,8,0.013
8119,General Store,female,Philippines,PH,not shared,field_partner,11,375,English,irregular,Retail,funded,11,0.093
8120,Shoe Sales,female,Peru,PE,shared,field_partner,7,375,Spanish,monthly,Retail,funded,8,0
8121,General Store,male,Kenya,KE,shared,field_partner,21,875,English,monthly,Retail,not_funded,14,0.242
8122,Retail,female,Nicaragua,NI,not shared,field_partner,4,100,Spanish,bullet,Retail,funded,4,0.112
8123,Used Clothing,female,Kenya,KE,shared,field_partner,6,175,English,monthly,Clothing,funded,8,0.02
8124,Farming,male,Philippines,PH,shared,field_partner,31,800,English,bullet,Agriculture,funded,7,0.039
8125,Butcher Shop,group,Nicaragua,NI,not shared,field_partner,29,750,Spanish,irregular,Food,funded,7,0.161
8126,Manufacturing,female,Pakistan,PK,shared,field_partner,7,400,English,monthly,Manufacturing,funded,14,0.184
8127,Fish Selling,group,The Democratic Republic of the Congo,CD,shared,field_partner,30,3600,French,irregular,Food,funded,6,0.034
8128,General Store,female,Philippines,PH,shared,field_partner,4,325,English,irregular,Retail,funded,8,0.055
8129,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,8,250,English,monthly,Food,funded,14,0.02
8130,Farming,male,Kenya,KE,shared,field_partner,24,750,English,monthly,Agriculture,funded,19,0.509
8131,Farm Supplies,group,Honduras,HN,shared,field_partner,19,825,Spanish,bullet,Agriculture,funded,8,0.109
8132,Used Clothing,female,Timor-Leste,TL,not shared,field_partner,26,1000,English,monthly,Clothing,funded,15,0.357
8133,Movie Tapes & DVDs,male,Lebanon,LB,not shared,field_partner,49,1800,English,monthly,Retail,funded,15,0.003
8134,Higher education costs,male,Jordan,JO,shared,field_partner,42,1175,English,monthly,Education,funded,15,0.005
8135,Farming,female,Kenya,KE,shared,field_partner,5,300,English,monthly,Agriculture,funded,14,0.19
8136,Home Products Sales,female,Philippines,PH,shared,field_partner,14,450,English,monthly,Retail,funded,10,0.497
8137,Restaurant,female,Kenya,KE,shared,field_partner,8,200,English,monthly,Food,funded,8,0.075
8138,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,7,300,English,irregular,Housing,funded,37,0.029
8139,Farming,male,Nigeria,NG,shared,field_partner,4,150,English,bullet,Agriculture,funded,17,0.311
8140,Farm Supplies,group,Honduras,HN,shared,field_partner,17,1375,Spanish,bullet,Agriculture,not_funded,14,0.077
8141,Livestock,female,El Salvador,SV,shared,field_partner,32,1000,Spanish,monthly,Agriculture,funded,21,0.054
8142,Retail,female,Nicaragua,NI,shared,field_partner,18,500,Spanish,monthly,Retail,funded,14,0.077
8143,Personal Housing Expenses,female,Jordan,JO,shared,field_partner,15,425,English,monthly,Housing,funded,15,0.005
8144,General Store,female,Rwanda,RW,shared,field_partner,26,875,English,monthly,Retail,funded,10,0.292
8145,Farming,male,Kenya,KE,shared,field_partner,8,250,English,monthly,Agriculture,funded,8,0.02
8146,General Store,female,Peru,PE,shared,field_partner,32,1100,Spanish,monthly,Retail,funded,14,0.038
8147,Manufacturing,female,Vietnam,VN,not shared,field_partner,36,950,Vietnamese,monthly,Manufacturing,funded,15,0.013
8148,Poultry,female,Kenya,KE,shared,field_partner,30,750,English,monthly,Agriculture,funded,15,0.02
8149,Clothing Sales,group,Guatemala,GT,shared,field_partner,20,1000,Spanish,monthly,Clothing,not_funded,14,0.082
8150,Cattle,male,Uganda,UG,shared,field_partner,11,1450,English,irregular,Agriculture,not_funded,14,0.346
8151,Cattle,female,Cambodia,KH,not shared,field_partner,12,400,English,monthly,Agriculture,funded,14,0.204
8152,Poultry,female,Uganda,UG,shared,field_partner,12,300,English,irregular,Agriculture,funded,7,0.013
8153,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,9,600,English,monthly,Food,not_funded,14,0.075
8154,Vehicle Repairs,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Services,funded,8,0.091
8155,Property,male,Mongolia,MN,not shared,field_partner,18,475,English,monthly,Housing,funded,13,0.006
8156,General Store,female,El Salvador,SV,not shared,field_partner,33,1000,Spanish,monthly,Retail,funded,17,0.201
8157,Photography,male,Senegal,SN,not shared,field_partner,38,1100,French,monthly,Services,funded,14,0.449
8158,Pigs,female,Madagascar,MG,shared,field_partner,5,125,French,monthly,Agriculture,funded,9,0.357
8159,Personal Housing Expenses,male,Nicaragua,NI,not shared,field_partner,39,1100,Spanish,monthly,Housing,funded,21,0.161
8160,General Store,female,Timor-Leste,TL,not shared,field_partner,24,800,English,monthly,Retail,funded,15,0.044
8161,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,9,600,English,monthly,Housing,funded,14,0.16
8162,Personal Products Sales,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Retail,funded,11,0.055
8163,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Food,funded,11,0.055
8164,Agriculture,female,Honduras,HN,shared,field_partner,11,300,Spanish,bullet,Agriculture,funded,8,0.077
8165,Grocery Store,female,Lebanon,LB,not shared,field_partner,33,1200,English,monthly,Food,funded,14,0.003
8166,Embroidery,female,Pakistan,PK,shared,field_partner,7,175,English,monthly,Arts,funded,14,0.039
8167,Food Stall,female,Cameroon,CM,shared,field_partner,6,225,French,monthly,Food,funded,15,0.024
8168,Farming,male,El Salvador,SV,shared,field_partner,6,250,Spanish,bullet,Agriculture,funded,13,0.054
8169,Jewelry,female,Jordan,JO,shared,field_partner,34,1000,English,monthly,Retail,funded,18,0.005
8170,Fish Selling,female,Tanzania,TZ,not shared,field_partner,9,275,English,monthly,Food,funded,1 Year,0.143
8171,Farm Supplies,female,Bolivia,BO,shared,field_partner,50,1500,Spanish,irregular,Agriculture,funded,27,0.105
8172,Food,group,Nicaragua,NI,not shared,field_partner,9,350,Spanish,irregular,Food,funded,6,0.161
8173,Personal Products Sales,female,Philippines,PH,shared,field_partner,1,250,English,irregular,Retail,funded,8,0.055
8174,Food Stall,group,Nicaragua,NI,not shared,field_partner,38,1175,Spanish,irregular,Food,funded,7,0.161
8175,Retail,male,Colombia,CO,shared,field_partner,5,225,Spanish,monthly,Retail,funded,14,0.005
8176,Pigs,female,Philippines,PH,shared,field_partner,4,125,English,irregular,Agriculture,funded,8,0.055
8177,Retail,female,Philippines,PH,shared,field_partner,15,425,English,irregular,Retail,funded,13,0.055
8178,Retail,male,Peru,PE,not shared,field_partner,14,350,Spanish,irregular,Retail,funded,6,0.071
8179,Retail,female,Ghana,GH,shared,field_partner,11,325,English,monthly,Retail,funded,8,0.122
8180,Grocery Store,male,Peru,PE,shared,field_partner,54,1400,Spanish,monthly,Food,funded,14,0.089
8181,Mobile Phones,male,Ecuador,EC,not shared,field_partner,21,1075,Spanish,monthly,Retail,not_funded,14,0.014
8182,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,6,775,Spanish,monthly,Housing,not_funded,18,0.112
8183,Clothing Sales,group,Guatemala,GT,shared,field_partner,7,825,Spanish,monthly,Clothing,funded,14,0.082
8184,Electrical Goods,male,Lebanon,LB,not shared,field_partner,109,3000,English,monthly,Retail,funded,21,0.003
8185,Clothing Sales,female,Peru,PE,not shared,field_partner,11,350,Spanish,monthly,Clothing,funded,5,0.071
8186,Personal Housing Expenses,male,El Salvador,SV,shared,field_partner,28,1500,Spanish,monthly,Housing,not_funded,26,0.054
8187,Home Appliances,group,Lesotho,LS,shared,field_partner,18,475,English,monthly,Personal Use,funded,11,0.106
8188,Souvenir Sales,female,Jordan,JO,shared,field_partner,30,1450,English,monthly,Retail,funded,21,0.005
8189,Souvenir Sales,female,Kenya,KE,shared,field_partner,13,375,English,monthly,Retail,funded,8,0.02
8190,Shoe Sales,female,Peru,PE,not shared,field_partner,4,250,Spanish,irregular,Retail,funded,6,0.062
8191,Used Clothing,female,Lebanon,LB,not shared,field_partner,30,1200,English,monthly,Clothing,funded,1 Year,0.003
8192,General Store,male,Nicaragua,NI,shared,field_partner,31,825,Spanish,monthly,Retail,funded,14,0.112
8193,Retail,female,Peru,PE,shared,field_partner,8,200,Spanish,irregular,Retail,funded,6,0.062
8194,Shoe Sales,female,Tajikistan,TJ,shared,field_partner,7,1000,Russian,monthly,Retail,not_funded,14,0.086
8195,Food Production/Sales,female,Togo,TG,shared,field_partner,4,125,French,irregular,Food,funded,7,0.067
8196,Taxi,female,Kenya,KE,shared,field_partner,33,850,English,monthly,Transportation,funded,14,0.075
8197,Fish Selling,male,Colombia,CO,shared,field_partner,6,225,Spanish,monthly,Food,funded,15,0.009
8198,Grocery Store,female,Philippines,PH,shared,field_partner,4,300,English,monthly,Food,funded,14,0.497
8199,Personal Housing Expenses,male,Mongolia,MN,shared,field_partner,14,1550,English,monthly,Housing,not_funded,20,0.006
8200,Livestock,group,Philippines,PH,shared,field_partner,27,2325,English,irregular,Agriculture,funded,8,0.039
8201,Farming,male,Philippines,PH,shared,field_partner,27,825,English,bullet,Agriculture,funded,7,0.027
8202,Food Market,female,Sierra Leone,SL,shared,field_partner,24,775,English,monthly,Food,funded,8,0.449
8203,Services,female,Bolivia,BO,not shared,field_partner,31,800,Spanish,monthly,Services,funded,21,0.081
8204,Retail,group,Vietnam,VN,not shared,field_partner,40,1200,Vietnamese,irregular,Retail,funded,13,0.013
8205,Farming,group,Mali,ML,shared,field_partner,27,1250,French,bullet,Agriculture,not_funded,1 Year,0.168
8206,Food Market,female,Sierra Leone,SL,shared,field_partner,14,425,English,irregular,Food,funded,11,0.319
8207,Pigs,female,Philippines,PH,shared,field_partner,1,125,English,irregular,Agriculture,funded,8,0.039
8208,Flowers,female,Cambodia,KH,not shared,field_partner,24,600,English,monthly,Agriculture,funded,14,0.16
8209,Higher education costs,male,Philippines,PH,shared,field_partner,16,500,English,irregular,Education,funded,47,0.027
8210,Fish Selling,male,Ecuador,EC,not shared,field_partner,15,400,Spanish,monthly,Food,funded,14,0.014
8211,General Store,female,Peru,PE,shared,field_partner,1,350,Spanish,monthly,Retail,funded,14,0.038
8212,Bakery,group,Uganda,UG,shared,field_partner,7,175,English,irregular,Food,funded,1 Year,0.013
8213,Personal Housing Expenses,group,Cambodia,KH,shared,field_partner,7,300,English,monthly,Housing,funded,13,0.16
8214,Personal Expenses,male,Nigeria,NG,shared,field_partner,1,575,English,bullet,Personal Use,not_funded,15,0.311
8215,Grocery Store,female,Nigeria,NG,not shared,field_partner,11,350,English,monthly,Food,funded,10,0.605
8216,Metal Shop,female,Peru,PE,shared,field_partner,24,725,Spanish,monthly,Manufacturing,funded,8,0
8217,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Housing,funded,1 Year,0.055
8218,General Store,female,Nigeria,NG,not shared,field_partner,12,450,English,monthly,Retail,funded,11,0.605
8219,Higher education costs,male,Tajikistan,TJ,shared,field_partner,8,350,English,monthly,Education,funded,14,0.086
8220,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,13,500,English,monthly,Housing,funded,22,0.121
8221,Fish Selling,female,Cambodia,KH,not shared,field_partner,10,1200,English,monthly,Food,funded,20,0.204
8222,Grocery Store,female,Nepal,NP,not shared,field_partner,11,275,English,monthly,Food,funded,14,0.094
8223,Farming,male,Nigeria,NG,shared,field_partner,2,50,English,bullet,Agriculture,funded,21,0.311
8224,Cosmetics Sales,female,Togo,TG,shared,field_partner,9,225,French,irregular,Retail,funded,11,0.067
8225,Retail,female,Philippines,PH,shared,field_partner,9,650,English,irregular,Retail,not_funded,1 Year,0.055
8226,General Store,male,El Salvador,SV,shared,field_partner,6,950,Spanish,monthly,Retail,not_funded,26,0.054
8227,Arts,female,Nepal,NP,shared,field_partner,15,375,English,monthly,Arts,funded,14,0.094
8228,Fruits & Vegetables,female,Togo,TG,not shared,field_partner,34,1100,French,monthly,Food,funded,14,0.067
8229,Sewing,female,Peru,PE,shared,field_partner,20,700,Spanish,irregular,Services,funded,6,0.062
8230,Home Appliances,group,Cambodia,KH,shared,field_partner,6,175,English,monthly,Personal Use,funded,8,0.696
8231,Livestock,female,Vietnam,VN,not shared,field_partner,1,125,Vietnamese,monthly,Agriculture,funded,8,0.013
8232,Farming,female,Cambodia,KH,shared,field_partner,60,1500,English,monthly,Agriculture,funded,20,0.16
8233,General Store,female,Peru,PE,shared,field_partner,21,725,Spanish,monthly,Retail,funded,14,0.038
8234,Agriculture,male,Bolivia,BO,not shared,field_partner,47,1500,Spanish,irregular,Agriculture,funded,20,0.105
8235,Used Clothing,female,Togo,TG,shared,field_partner,35,1225,French,monthly,Clothing,funded,14,0.067
8236,General Store,female,Philippines,PH,shared,field_partner,30,1175,English,monthly,Retail,funded,8,0.039
8237,Farming,male,Kenya,KE,shared,field_partner,2,100,English,monthly,Agriculture,funded,8,0.02
8238,General Store,female,Ecuador,EC,not shared,field_partner,4,750,Spanish,irregular,Retail,funded,6,0.054
8239,Food Production/Sales,group,Cambodia,KH,shared,field_partner,20,900,English,monthly,Food,funded,14,0.121
8240,Fish Selling,group,Ghana,GH,shared,field_partner,116,3150,English,irregular,Food,funded,11,0.058
8241,Bakery,female,Philippines,PH,shared,field_partner,11,275,English,irregular,Food,funded,11,0.055
8242,Agriculture,female,Vietnam,VN,not shared,field_partner,8,400,English,irregular,Agriculture,funded,13,0.013
8243,Retail,male,Cambodia,KH,not shared,field_partner,31,800,English,monthly,Retail,funded,20,0.121
8244,Farming,female,Philippines,PH,shared,field_partner,5,125,English,monthly,Agriculture,funded,7,0.497
8245,Livestock,female,Philippines,PH,shared,field_partner,7,250,English,irregular,Agriculture,funded,10,0.055
8246,Hardware,male,Kenya,KE,shared,field_partner,30,1075,English,monthly,Retail,funded,14,0.02
8247,Food,group,Guatemala,GT,shared,field_partner,19,1250,Spanish,monthly,Food,funded,14,0.067
8248,Primary/secondary school costs,male,Nigeria,NG,shared,field_partner,12,300,English,bullet,Education,funded,14,0.311
8249,Motorcycle Transport,group,Sierra Leone,SL,shared,field_partner,41,1200,English,monthly,Transportation,funded,1 Year,0.423
8250,Retail,female,Nicaragua,NI,not shared,field_partner,14,375,Spanish,irregular,Retail,funded,7,0.161
8251,Higher education costs,male,Bolivia,BO,shared,field_partner,27,1200,Spanish,monthly,Education,not_funded,26,0.077
8252,Restaurant,female,Uganda,UG,shared,field_partner,9,350,English,irregular,Food,funded,14,0.013
8253,Transportation,male,Peru,PE,shared,field_partner,10,375,Spanish,monthly,Transportation,funded,14,0.009
8254,Food Production/Sales,male,Nicaragua,NI,shared,field_partner,11,1075,Spanish,monthly,Food,not_funded,20,0.112
8255,Crafts,female,Philippines,PH,shared,field_partner,11,325,English,irregular,Arts,funded,10,0.055
8256,Retail,male,Colombia,CO,shared,field_partner,4,1250,Spanish,bullet,Retail,not_funded,20,0.005
8257,Farming,group,Cambodia,KH,shared,field_partner,18,500,English,monthly,Agriculture,funded,14,0.274
8258,Used Clothing,male,Sierra Leone,SL,shared,field_partner,20,700,English,monthly,Clothing,funded,8,0.449
8259,General Store,female,Philippines,PH,shared,field_partner,20,1000,English,irregular,Retail,funded,8,0.039
8260,Animal Sales,male,Tajikistan,TJ,shared,field_partner,21,650,Russian,monthly,Agriculture,funded,14,0.086
8261,General Store,female,Nicaragua,NI,shared,field_partner,4,100,Spanish,irregular,Retail,funded,6,0.077
8262,Home Appliances,group,Cambodia,KH,shared,field_partner,1,100,English,monthly,Personal Use,funded,8,0.121
8263,Farming,male,Nigeria,NG,shared,field_partner,9,425,English,bullet,Agriculture,not_funded,19,0.311
8264,Personal Housing Expenses,female,Tajikistan,TJ,shared,field_partner,20,575,English,monthly,Housing,funded,14,0.086
8265,Pharmacy,female,Peru,PE,shared,field_partner,33,900,Spanish,monthly,Health,funded,11,0
8266,Agriculture,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Agriculture,funded,7,0.039
8267,General Store,female,Philippines,PH,shared,field_partner,2,150,English,irregular,Retail,funded,8,0.054
